POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2111,0,26,0,26,..,72,14,81,0,81,..,30,0,30,0,30,..,35,6,46,0,46,..,257,35,289,7,291,..,3397,542,3935,49,3978,..,39,11,53,535,584,10887,3433,553,3982,581,15456
POA2112,0,173,0,171,..,139,41,177,0,180,..,88,8,99,0,99,..,226,21,245,0,248,..,1635,283,1925,40,1963,..,15279,2808,18084,174,18259,..,171,38,207,1388,1593,18169,15451,2844,18296,1560,38026
POA2113,9,199,6,208,..,118,22,140,3,141,..,47,0,47,0,47,..,254,30,287,4,294,..,1197,125,1318,36,1357,..,11915,1699,13616,165,13787,..,116,23,135,1257,1397,12460,12032,1720,13757,1421,27637
POA2114,8,274,7,278,..,120,27,149,4,149,..,57,5,62,0,65,..,184,29,216,4,213,..,713,116,832,32,858,..,10807,2221,13025,116,13146,..,111,47,160,738,893,11224,10923,2263,13184,854,25267
POA2115,4,105,0,105,..,24,8,36,0,36,..,49,15,65,0,65,..,72,26,93,0,93,..,552,107,661,17,674,..,4593,1302,5891,50,5950,..,53,29,82,648,725,6013,4642,1330,5974,700,12686
POA2116,0,33,0,33,..,29,6,39,0,39,..,32,11,38,0,38,..,25,0,26,0,26,..,336,48,383,8,389,..,2678,715,3392,35,3424,..,35,7,44,354,398,3449,2714,723,3437,392,7274
POA2117,0,160,3,163,..,52,9,66,0,70,..,79,16,91,0,91,..,133,20,157,0,157,..,641,127,768,15,780,..,8829,2419,11244,102,11344,..,127,33,156,911,1069,9770,8950,2446,11402,1012,22185
POA2118,7,355,4,360,..,64,8,73,0,73,..,52,8,55,0,55,..,140,22,162,0,162,..,690,78,773,28,799,..,14225,3433,17658,138,17793,..,147,38,189,710,897,9192,14377,3470,17844,851,27888
POA2119,5,202,0,201,..,14,0,14,0,14,..,16,3,20,0,20,..,80,0,84,0,84,..,208,13,223,8,225,..,3768,517,4284,43,4324,..,31,0,33,295,327,7803,3799,521,4320,332,12458
POA2120,5,155,0,160,..,60,3,63,0,63,..,26,3,25,0,25,..,60,10,70,0,76,..,418,38,454,10,468,..,5636,918,6552,57,6610,..,55,21,77,419,494,13884,5693,936,6627,477,20988
POA2121,24,577,9,587,..,84,21,107,0,112,..,32,0,36,0,36,..,215,30,239,0,239,..,802,99,901,28,935,..,17308,3551,20857,184,21036,..,132,31,166,838,1003,12164,17443,3576,21021,1025,34209
POA2122,10,296,4,298,..,134,32,161,0,167,..,28,6,29,0,29,..,294,28,318,5,321,..,798,120,920,24,947,..,14710,4139,18846,152,18996,..,98,38,136,1102,1235,10955,14813,4170,18981,1250,31187
POA2125,5,217,0,221,..,29,3,34,0,34,..,18,0,18,0,18,..,89,3,96,0,96,..,258,14,273,5,284,..,5648,833,6484,53,6531,..,34,14,50,288,334,9754,5683,845,6530,341,16620
POA2126,17,555,8,556,..,24,0,25,0,25,..,24,3,23,0,23,..,72,6,81,0,81,..,435,30,459,7,467,..,8206,1037,9242,59,9296,..,57,12,72,425,492,9296,8260,1050,9307,478,19082
POA2127,7,169,3,169,..,71,16,87,0,87,..,193,19,207,7,211,..,183,14,197,3,204,..,641,169,811,35,839,..,11546,2493,14039,158,14190,..,111,37,150,938,1092,7918,11657,2533,14195,1091,23198
POA2128,0,7,0,7,..,4,3,5,0,5,..,42,11,55,0,55,..,12,4,17,0,17,..,94,21,117,0,124,..,1076,333,1410,6,1415,..,18,9,23,1426,1448,730,1091,339,1430,1438,3600
POA2130,4,15,0,15,..,24,16,43,0,47,..,41,0,38,0,38,..,55,11,65,0,67,..,110,21,124,0,130,..,1555,319,1879,25,1901,..,31,3,30,275,307,5088,1587,322,1902,300,7288
POA2131,14,140,0,140,..,225,121,343,6,353,..,91,18,110,7,113,..,270,65,334,0,334,..,497,69,565,22,584,..,9004,2267,11266,95,11360,..,160,43,204,849,1054,10593,9166,2309,11469,945,23012
POA2132,4,44,0,46,..,42,13,54,0,54,..,15,0,23,0,23,..,184,34,220,0,220,..,150,28,174,5,181,..,3774,1008,4786,31,4810,..,27,10,40,411,445,5500,3800,1017,4820,436,10755
POA2133,0,35,0,35,..,32,15,44,0,44,..,38,0,40,0,40,..,105,21,122,0,122,..,257,48,303,9,310,..,3863,855,4715,36,4752,..,44,15,56,368,428,5759,3907,867,4769,409,10929
POA2134,17,124,0,126,..,152,79,233,0,233,..,34,9,40,0,40,..,461,63,519,0,524,..,285,52,342,11,357,..,9922,3489,13411,87,13498,..,97,27,122,1006,1123,3602,10018,3512,13532,1091,18224
POA2135,45,867,4,872,..,85,38,129,0,129,..,60,3,61,0,61,..,735,107,841,8,851,..,820,82,902,18,919,..,14304,2471,16777,112,16891,..,194,37,231,1162,1391,7630,14497,2509,17009,1276,25915
POA2136,7,231,0,231,..,30,9,38,0,38,..,20,0,30,0,30,..,94,29,120,0,122,..,222,18,240,3,240,..,3394,717,4111,35,4145,..,39,19,57,350,408,3215,3439,733,4172,379,7763
POA2137,3,162,0,160,..,73,9,87,0,85,..,164,20,187,0,187,..,206,29,235,0,242,..,451,50,502,13,515,..,9034,1655,10689,68,10756,..,112,27,143,877,1016,15955,9149,1681,10832,939,27726
POA2138,0,131,3,137,..,59,14,69,0,71,..,59,12,68,0,68,..,194,22,209,0,209,..,386,122,507,21,524,..,9794,1984,11772,131,11899,..,91,26,118,847,967,6815,9886,2006,11890,981,19686
POA2140,92,1217,16,1233,..,127,70,195,5,200,..,54,18,73,0,73,..,296,53,351,0,352,..,1545,138,1685,40,1720,..,12033,2605,14635,151,14784,..,143,42,183,1170,1352,4626,12175,2647,14822,1315,20766
