POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2707,143,285,3,28,9,30,5,13,66,277,83,346,4,23,11,37,25,76,44,135,129,480,0,0,3,21,0,0,8,32,16,55,0,0,0,4,15,28,17,33,34,83,4,10,313,858
POA2710,1233,2438,20,117,96,463,34,153,472,1881,616,2614,25,118,63,185,156,493,250,803,866,3409,6,20,27,89,26,80,130,346,182,540,6,22,26,52,127,274,162,347,341,884,41,86,2476,6821
POA2711,400,793,3,14,27,112,10,36,150,600,188,758,19,65,24,58,60,183,92,302,281,1056,3,9,8,20,4,16,51,137,60,177,5,17,6,17,64,128,73,151,136,329,10,20,830,2203
POA2712,195,378,0,15,14,61,6,21,60,254,77,341,5,22,10,25,40,114,50,158,126,499,0,5,3,15,0,13,17,40,25,69,0,3,8,13,12,30,21,46,43,109,7,12,372,1004
POA2713,350,689,10,42,36,179,8,31,119,480,170,734,13,40,6,18,40,117,59,175,226,905,0,0,9,37,9,21,39,99,56,159,0,0,6,8,43,73,45,87,102,246,10,19,683,1860
POA2714,453,906,3,18,24,115,7,21,124,502,157,662,6,15,15,40,35,107,56,169,215,830,0,0,10,18,3,9,31,94,40,117,0,3,9,21,33,61,45,91,80,208,7,17,752,1955
POA2715,154,302,5,14,9,57,3,21,61,258,82,354,4,19,6,23,26,79,39,122,119,471,0,11,0,8,0,4,19,66,26,88,4,4,6,8,14,35,24,46,51,134,3,6,324,913
POA2716,135,264,4,17,6,29,5,15,47,176,56,241,0,13,6,24,9,27,21,61,77,308,6,14,0,4,0,3,13,39,17,57,0,0,0,0,10,28,16,30,29,88,5,10,242,665
POA2717,128,264,4,22,6,51,9,54,37,152,59,273,5,15,5,11,32,104,38,125,102,397,0,0,6,29,4,7,22,64,28,92,0,3,3,8,30,61,34,71,59,168,7,20,295,850
POA2720,980,1945,18,125,77,355,35,147,477,1893,608,2516,28,108,53,154,182,560,260,827,870,3349,9,24,23,83,18,65,165,455,212,626,13,29,19,47,143,297,173,374,380,995,28,47,2256,6340
