POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA4420,..,109,109,151,10,160,46,0,46,57,0,57,29,0,29,13,0,13,304,120,416
POA4421,..,300,300,257,47,305,91,7,104,63,0,63,32,0,32,36,0,36,478,359,839
POA4422,..,51,51,51,0,47,15,0,15,27,0,27,13,0,13,8,0,8,109,49,156
POA4423,..,22,22,15,0,15,7,0,7,5,0,5,12,0,12,4,0,4,47,22,73
POA4424,..,19,19,21,0,21,13,0,13,13,0,13,6,0,6,4,0,4,62,19,79
POA4425,..,23,23,24,0,24,5,0,5,8,0,8,0,0,0,3,0,3,48,23,69
POA4426,..,18,18,18,0,18,3,0,8,4,0,4,3,0,3,5,0,5,31,17,48
POA4427,..,24,24,42,3,52,14,0,17,9,0,9,5,0,5,5,0,5,73,30,105
POA4428,..,53,53,86,0,86,29,0,30,31,0,31,11,0,11,7,0,7,166,57,217
POA4454,..,67,67,83,6,87,28,0,30,31,0,31,8,0,8,5,0,5,162,71,231
POA4455,..,889,889,946,76,1024,410,22,434,447,6,450,202,0,202,84,0,84,2093,993,3082
POA4461,..,3,3,6,0,6,0,0,0,0,0,0,4,0,4,0,0,0,11,3,13
POA4462,..,16,16,17,3,19,0,0,0,5,0,5,3,0,3,0,0,0,30,22,49
POA4465,..,153,153,150,14,163,48,0,54,54,0,54,28,0,28,17,0,17,298,172,468
POA4467,..,14,14,14,0,23,6,0,12,7,0,7,0,0,0,0,0,0,35,16,57
POA4468,..,32,32,40,0,42,15,0,10,18,0,18,3,0,3,0,0,0,70,37,102
POA4470,..,441,441,413,29,440,136,5,139,109,0,109,56,0,56,36,0,36,752,472,1226
POA4472,..,186,186,224,0,222,53,0,59,57,0,57,23,0,23,13,0,13,379,189,565
POA4474,..,4,4,5,0,9,4,0,4,0,0,0,0,0,0,0,0,0,18,5,26
POA4477,..,64,64,63,4,64,27,0,27,21,0,21,17,0,17,5,0,5,128,75,202
POA4478,..,49,49,70,7,74,24,3,27,29,0,29,10,0,10,0,0,0,134,59,193
POA4479,..,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,9
POA4480,..,94,94,75,5,77,25,0,28,31,0,31,20,0,20,5,0,5,151,98,255
POA4481,..,15,15,18,0,19,3,0,3,5,0,3,0,0,6,0,0,0,26,15,37
POA4482,..,11,11,15,0,12,9,0,9,6,0,6,0,0,0,0,0,0,29,11,41
POA4486,..,96,96,81,5,94,29,0,29,32,0,32,10,0,10,7,0,7,167,101,261
POA4487,..,332,332,378,19,393,159,3,162,134,0,134,84,0,85,45,0,43,794,353,1154
POA4488,..,29,29,29,0,25,14,0,14,16,0,16,4,0,4,3,0,3,62,26,90
POA4489,..,10,10,10,4,9,3,0,3,4,0,4,4,0,4,0,0,0,16,8,29
POA4490,..,237,237,193,18,210,61,3,57,63,0,63,33,0,33,27,0,27,369,258,625
POA4491,..,14,14,18,3,22,3,0,3,0,0,0,0,0,0,0,0,0,30,14,44
POA4492,..,39,39,28,0,29,13,0,13,13,0,13,8,0,8,5,0,10,67,44,109
POA4493,..,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7
POA4494,..,16,16,12,0,12,7,0,7,6,0,6,0,0,0,3,0,3,30,16,44
POA4496,..,26,26,25,0,25,5,0,6,7,0,7,0,0,0,8,0,8,44,30,75
POA4497,..,28,28,33,7,39,11,0,11,12,0,12,14,0,14,9,0,9,74,29,104
POA4498,..,13,13,11,0,11,4,0,4,12,0,12,11,0,11,0,0,0,41,13,55
POA4500,..,2859,2859,4715,331,5047,2872,67,2939,2996,13,3010,1210,0,1216,658,0,662,12452,3274,15730
POA4501,..,703,703,674,85,761,371,15,383,282,3,283,118,0,118,70,0,71,1512,803,2314
POA4502,..,599,599,1008,79,1084,585,15,591,553,6,558,223,0,221,83,0,83,2452,697,3148
POA4503,..,4001,4001,5738,552,6294,3285,81,3369,3118,15,3134,1269,0,1274,716,0,723,14133,4653,18785
POA4504,..,721,721,1781,86,1862,1275,13,1291,1529,12,1539,665,0,666,375,0,371,5619,828,6454
POA4505,..,1814,1814,2964,202,3163,1478,41,1523,1436,6,1441,711,0,712,422,3,427,7009,2072,9076
POA4506,..,1795,1795,2713,283,2999,1449,50,1496,1296,10,1301,638,9,652,441,8,451,6540,2153,8696
POA4507,..,3097,3097,4478,242,4718,797,19,816,554,0,559,235,4,236,136,0,136,6201,3352,9553
POA4508,..,1889,1889,2218,201,2418,1115,27,1144,892,4,901,419,0,419,348,0,348,4995,2123,7120
POA4509,..,1894,1894,3279,242,3527,2477,41,2518,2841,17,2860,1097,5,1101,524,0,521,10219,2195,12413
POA4510,..,4824,4824,6288,609,6894,2961,92,3058,2641,33,2673,1336,25,1355,952,26,973,14178,5604,19782
POA4511,..,848,848,1692,80,1770,509,7,516,440,0,441,225,0,225,98,0,98,2968,941,3903
POA4512,..,136,136,377,27,400,188,0,188,202,0,203,104,0,104,71,0,71,948,167,1110
POA4514,..,465,465,881,58,938,407,4,409,363,3,367,165,0,165,124,0,124,1934,535,2465
POA4515,..,341,341,566,28,593,205,11,212,190,9,198,109,11,117,68,0,69,1136,400,1533
POA4516,..,140,140,392,16,408,259,4,259,267,0,267,134,0,138,91,0,91,1145,166,1308
POA4517,..,92,92,131,7,133,52,0,52,39,0,39,21,0,21,12,0,12,254,103,355
POA4518,..,302,302,695,49,748,308,3,313,325,3,325,150,0,153,73,0,73,1552,365,1910
POA4519,..,653,653,1134,84,1215,522,11,535,521,0,523,237,0,235,132,0,132,2553,750,3297
POA4520,..,486,486,1542,54,1596,696,6,701,974,3,970,430,0,430,230,0,230,3872,551,4426
POA4521,..,283,283,672,27,699,225,8,232,317,0,317,147,0,147,83,0,83,1451,318,1760
POA4550,..,318,318,621,46,669,299,5,310,288,5,292,106,0,108,67,0,67,1386,378,1764
POA4551,..,6450,6450,9513,669,10183,3620,109,3727,3684,38,3725,1436,8,1437,631,4,632,18883,7277,26162
POA4552,..,927,927,1581,91,1665,447,18,465,321,0,318,143,0,147,85,0,85,2580,1031,3611
POA4553,..,440,440,1003,88,1086,684,36,720,734,17,754,295,0,292,149,3,149,2865,583,3445
